episode,time_step,action,x,y,heading
2,16,2,9,8,1
2,17,2,9,9,1
2,18,0,9,9,0
2,19,2,10,9,0
2,20,2,11,9,0
2,21,2,12,9,0
2,22,2,12,9,0
2,23,5,12,9,0
2,24,2,13,9,0
2,25,2,14,9,0
2,26,1,14,9,1
2,27,2,14,10,1
2,28,2,14,11,1
2,29,2,14,12,1
2,30,2,14,13,1
2,31,2,14,14,1
3,0,0,2,12,1
3,1,2,2,13,1
3,2,0,2,13,0
3,3,3,2,13,0
3,4,2,3,13,0
3,5,5,3,13,0
3,6,2,4,13,0
3,7,2,5,13,0
3,8,2,6,13,0
3,9,2,7,13,0
3,10,2,8,13,0
3,11,2,9,13,0
3,12,2,10,13,0
3,13,2,11,13,0
3,14,2,12,13,0
3,15,2,13,13,0
3,16,2,14,13,0
3,17,1,14,13,1
3,18,2,14,14,1
4,0,0,6,1,2
4,1,0,6,1,1
4,2,2,6,2,1
4,3,2,6,3,1
4,4,2,6,4,1
4,5,2,6,5,1
4,6,2,6,6,1
4,7,2,6,7,1
4,8,2,6,8,1
4,9,0,6,8,0
4,10,2,7,8,0
4,11,3,7,8,0
4,12,0,7,8,3
4,13,2,7,7,3
4,14,2,7,6,3
4,15,1,7,6,0
4,16,2,8,6,0
4,17,5,8,6,0
4,18,2,9,6,0
4,19,2,10,6,0
4,20,2,11,6,0
4,21,2,12,6,0
4,22,2,13,6,0
4,23,2,14,6,0
4,24,1,14,6,1
4,25,2,14,7,1
4,26,2,14,8,1
4,27,2,14,9,1
4,28,2,14,10,1
4,29,2,14,11,1
4,30,2,14,12,1
4,31,2,14,13,1
4,32,2,14,14,1
5,0,0,3,10,0
5,1,0,3,10,3
5,2,0,3,10,2
5,3,3,3,10,2
5,4,1,3,10,3
5,5,2,3,9,3
5,6,2,3,8,3
5,7,2,3,7,3
5,8,1,3,7,0
5,9,5,3,7,0
5,10,2,4,7,0
5,11,2,5,7,0
5,12,2,6,7,0
5,13,2,7,7,0
5,14,2,8,7,0
5,15,2,9,7,0
5,16,2,10,7,0
5,17,2,11,7,0
5,18,2,12,7,0
5,19,2,13,7,0
5,20,2,14,7,0
5,21,1,14,7,1
5,22,2,14,8,1
5,23,2,14,9,1
5,24,2,14,10,1
5,25,2,14,11,1
5,26,2,14,12,1
5,27,2,14,13,1
5,28,2,14,14,1
6,0,0,2,6,0
6,1,1,2,6,1
6,2,2,2,7,1
6,3,2,2,8,1
6,4,0,2,8,0
6,5,2,3,8,0
6,6,2,4,8,0
6,7,2,5,8,0
6,8,2,6,8,0
6,9,2,7,8,0
6,10,3,7,8,0
6,11,2,8,8,0
6,12,5,8,8,0
6,13,2,9,8,0
6,14,2,10,8,0
6,15,2,11,8,0
6,16,2,12,8,0
6,17,2,13,8,0
6,18,2,14,8,0
6,19,1,14,8,1
6,20,2,14,9,1
6,21,2,14,10,1
6,22,2,14,11,1
6,23,2,14,12,1
6,24,2,14,13,1
6,25,2,14,14,1
7,0,0,3,11,1
7,1,1,3,11,2
7,2,2,2,11,2
7,3,2,1,11,2
7,4,1,1,11,3
7,5,2,1,10,3
7,6,2,1,9,3
7,7,2,1,8,3
7,8,2,1,7,3
7,9,2,1,6,3
7,10,2,1,5,3
7,11,2,1,4,3
7,12,2,1,3,3
7,13,2,1,2,3
7,14,3,1,2,3
7,15,1,1,2,0
7,16,2,2,2,0
7,17,2,3,2,0
7,18,1,3,2,1
7,19,2,3,3,1
7,20,2,3,4,1
7,21,2,3,5,1
7,22,2,3,6,1
7,23,0,3,6,0
7,24,5,3,6,0
7,25,2,4,6,0
7,26,2,5,6,0
7,27,2,6,6,0
7,28,2,7,6,0
7,29,2,8,6,0
7,30,2,9,6,0
7,31,2,10,6,0
7,32,2,11,6,0
7,33,2,12,6,0
7,34,2,13,6,0
7,35,2,14,6,0
7,36,1,14,6,1
7,37,2,14,7,1
7,38,2,14,8,1
7,39,2,14,9,1
7,40,2,14,10,1
7,41,2,14,11,1
7,42,2,14,12,1
7,43,2,14,13,1
7,44,2,14,14,1
8,0,0,8,4,0
8,1,1,8,4,1
8,2,2,8,5,1
8,3,2,8,6,1
8,4,2,8,7,1
8,5,1,8,7,2
8,6,3,8,7,2
8,7,0,8,7,1
8,8,2,8,8,1
8,9,2,8,9,1
8,10,2,8,10,1
8,11,2,8,11,1
8,12,2,8,12,1
8,13,2,8,13,1
8,14,0,8,13,0
8,15,2,9,13,0
8,16,2,10,13,0
8,17,2,11,13,0
8,18,2,12,13,0
8,19,5,12,13,0
8,20,2,13,13,0
8,21,2,14,13,0
8,22,1,14,13,1
8,23,2,14,14,1
9,0,0,7,10,1
9,1,0,7,10,0
9,2,0,7,10,3
9,3,3,7,10,3
9,4,1,7,10,0
9,5,2,8,10,0
9,6,2,9,10,0
9,7,2,10,10,0
9,8,1,10,10,1
9,9,2,10,11,1
9,10,0,10,11,0
9,11,2,11,11,0
9,12,2,12,11,0
9,13,5,12,11,0
9,14,2,13,11,0
9,15,2,14,11,0
9,16,1,14,11,1
9,17,2,14,12,1
9,18,2,14,13,1
9,19,2,14,14,1
10,0,0,4,2,0
10,1,2,5,2,0
10,2,1,5,2,1
10,3,2,5,3,1
10,4,2,5,4,1
10,5,3,5,4,1
10,6,2,5,5,1
10,7,2,5,6,1
10,8,2,5,7,1
10,9,2,5,8,1
10,10,2,5,9,1
10,11,2,5,10,1
10,12,2,5,11,1
10,13,2,5,12,1
10,14,2,5,13,1
10,15,0,5,13,0
10,16,5,5,13,0
10,17,2,6,13,0
10,18,2,7,13,0
10,19,2,8,13,0
10,20,2,9,13,0
10,21,2,10,13,0
10,22,2,11,13,0
10,23,2,12,13,0
10,24,2,13,13,0
10,25,2,14,13,0
10,26,1,14,13,1
10,27,2,14,14,1
11,0,0,9,2,3
11,1,0,9,2,2
11,2,2,8,2,2
11,3,2,7,2,2
11,4,2,6,2,2
11,5,2,5,2,2
11,6,2,4,2,2
11,7,2,3,2,2
11,8,0,3,2,1
11,9,2,3,3,1
11,10,2,3,4,1
11,11,2,3,5,1
11,12,2,3,6,1
11,13,2,3,7,1
11,14,2,3,8,1
11,15,2,3,9,1
11,16,2,3,10,1
11,17,2,3,11,1
11,18,3,3,11,1
11,19,0,3,11,0
11,20,2,4,11,0
11,21,2,5,11,0
11,22,2,6,11,0
11,23,2,7,11,0
11,24,2,8,11,0
11,25,0,8,11,3
11,26,2,8,10,3
11,27,2,8,9,3
11,28,1,8,9,0
11,29,2,9,9,0
11,30,5,9,9,0
11,31,2,10,9,0
11,32,2,11,9,0
11,33,2,12,9,0
11,34,2,13,9,0
11,35,2,14,9,0
11,36,1,14,9,1
11,37,2,14,10,1
11,38,2,14,11,1
11,39,2,14,12,1
11,40,2,14,13,1
11,41,2,14,14,1
12,0,0,4,14,0
12,1,0,4,14,3
12,2,2,4,13,3
12,3,2,4,12,3
12,4,2,4,11,3
12,5,2,4,10,3
12,6,2,4,9,3
12,7,2,4,8,3
12,8,2,4,7,3
12,9,2,4,6,3
12,10,2,4,5,3
12,11,2,4,4,3
12,12,3,4,4,3
12,13,1,4,4,0
12,14,2,5,4,0
12,15,2,6,4,0
12,16,2,7,4,0
12,17,1,7,4,1
12,18,2,7,5,1
12,19,0,7,5,0
12,20,2,8,5,0
12,21,5,8,5,0
12,22,2,9,5,0
12,23,2,10,5,0
12,24,2,11,5,0
12,25,2,12,5,0
12,26,2,13,5,0
12,27,2,14,5,0
12,28,1,14,5,1
12,29,2,14,6,1
12,30,2,14,7,1
12,31,2,14,8,1
12,32,2,14,9,1
12,33,2,14,10,1
12,34,2,14,11,1
12,35,2,14,12,1
12,36,2,14,13,1
12,37,2,14,14,1
13,0,0,1,3,0
13,1,2,2,3,0
13,2,2,3,3,0
13,3,1,3,3,1
13,4,2,3,4,1
13,5,2,3,5,1
13,6,2,3,6,1
13,7,2,3,7,1
13,8,2,3,8,1
13,9,2,3,9,1
13,10,3,3,9,1
13,11,0,3,9,0
13,12,2,4,9,0
13,13,2,5,9,0
13,14,2,6,9,0
13,15,0,6,9,3
13,16,2,6,8,3
13,17,2,6,7,3
13,18,2,6,6,3
13,19,1,6,6,0
13,20,5,6,6,0
13,21,2,7,6,0
13,22,2,8,6,0
13,23,2,9,6,0
13,24,2,10,6,0
13,25,2,11,6,0
13,26,2,12,6,0
13,27,2,13,6,0
13,28,2,14,6,0
13,29,1,14,6,1
13,30,2,14,7,1
13,31,2,14,8,1
13,32,2,14,9,1
13,33,2,14,10,1
13,34,2,14,11,1
13,35,2,14,12,1
13,36,2,14,13,1
13,37,2,14,14,1
14,0,0,6,3,2
14,1,2,5,3,2
14,2,2,4,3,2
14,3,2,3,3,2
14,4,0,3,3,1
14,5,2,3,4,1
14,6,2,3,5,1
14,7,2,3,6,1
14,8,2,3,7,1
14,9,2,3,8,1
14,10,2,3,9,1
14,11,2,3,10,1
14,12,2,3,11,1
14,13,3,3,11,1
14,14,0,3,11,0
14,15,2,4,11,0
14,16,2,5,11,0
14,17,2,6,11,0
14,18,2,7,11,0
14,19,2,8,11,0
14,20,2,9,11,0
14,21,2,10,11,0
14,22,0,10,11,3
14,23,2,10,10,3
14,24,2,10,9,3
14,25,2,10,8,3
14,26,2,10,7,3
14,27,2,10,6,3
14,28,2,10,5,3
14,29,2,10,4,3
14,30,2,10,3,3
14,31,2,10,2,3
14,32,2,10,1,3
14,33,1,10,1,0
14,34,5,10,1,0
14,35,2,11,1,0
14,36,2,12,1,0
14,37,2,13,1,0
14,38,2,14,1,0
14,39,1,14,1,1
14,40,2,14,2,1
14,41,2,14,3,1
14,42,2,14,4,1
14,43,2,14,5,1
14,44,2,14,6,1
14,45,2,14,7,1
14,46,2,14,8,1
14,47,2,14,9,1
14,48,2,14,10,1
14,49,2,14,11,1
14,50,2,14,12,1
14,51,2,14,13,1
14,52,2,14,14,1
15,0,0,1,1,0
15,1,1,1,1,1
15,2,2,1,2,1
15,3,2,1,3,1
15,4,2,1,4,1
15,5,3,1,4,1
15,6,2,1,5,1
15,7,2,1,6,1
15,8,2,1,7,1
15,9,2,1,8,1
15,10,2,1,9,1
15,11,2,1,10,1
15,12,0,1,10,0
15,13,2,2,10,0
15,14,5,2,10,0
15,15,2,3,10,0
15,16,2,4,10,0
15,17,2,5,10,0
15,18,2,6,10,0
15,19,2,7,10,0
15,20,2,8,10,0
15,21,2,9,10,0
15,22,2,10,10,0
15,23,2,11,10,0
15,24,2,12,10,0
15,25,2,13,10,0
15,26,2,14,10,0
15,27,1,14,10,1
15,28,2,14,11,1
15,29,2,14,12,1
15,30,2,14,13,1
15,31,2,14,14,1
16,0,0,1,12,2
16,1,1,1,12,3
16,2,2,1,11,3
16,3,2,1,10,3
16,4,3,1,10,3
16,5,2,1,9,3
16,6,2,1,8,3
16,7,2,1,7,3
16,8,2,1,6,3
16,9,1,1,6,0
16,10,2,2,6,0
16,11,5,2,6,0
16,12,2,3,6,0
16,13,2,4,6,0
16,14,2,5,6,0
16,15,2,6,6,0
16,16,2,7,6,0
16,17,2,8,6,0
16,18,2,9,6,0
16,19,2,10,6,0
16,20,2,11,6,0
16,21,2,12,6,0
16,22,2,13,6,0
16,23,2,14,6,0
16,24,1,14,6,1
16,25,2,14,7,1
16,26,2,14,8,1
16,27,2,14,9,1
16,28,2,14,10,1
16,29,2,14,11,1
16,30,2,14,12,1
16,31,2,14,13,1
16,32,2,14,14,1
17,0,0,10,6,1
17,1,2,10,7,1
17,2,2,10,8,1
17,3,0,10,8,0
17,4,0,10,8,3
17,5,0,10,8,2
17,6,2,9,8,2
17,7,2,8,8,2
17,8,2,7,8,2
17,9,2,6,8,2
17,10,2,5,8,2
17,11,2,4,8,2
17,12,2,3,8,2
17,13,3,3,8,2
17,14,1,3,8,3
17,15,1,3,8,0
17,16,2,4,8,0
17,17,2,5,8,0
17,18,2,6,8,0
17,19,2,7,8,0
17,20,2,8,8,0
17,21,2,9,8,0
17,22,2,10,8,0
17,23,5,10,8,0
17,24,2,11,8,0
17,25,2,12,8,0
17,26,2,13,8,0
17,27,2,14,8,0
17,28,1,14,8,1
17,29,2,14,9,1
17,30,2,14,10,1
17,31,2,14,11,1
17,32,2,14,12,1
17,33,2,14,13,1
17,34,2,14,14,1
18,0,0,6,10,1
18,1,0,6,10,0
18,2,0,6,10,3
18,3,2,6,9,3
18,4,2,6,8,3
18,5,2,6,7,3
18,6,2,6,6,3
18,7,2,6,5,3
18,8,2,6,4,3
18,9,2,6,3,3
18,10,2,6,2,3
18,11,0,6,2,2
18,12,2,5,2,2
18,13,2,4,2,2
18,14,2,4,2,2
18,15,3,4,2,2
18,16,1,4,2,3
18,17,2,4,1,3
18,18,1,4,1,0
18,19,2,5,1,0
18,20,2,6,1,0
18,21,2,7,1,0
18,22,2,8,1,0
18,23,2,9,1,0
18,24,2,10,1,0
18,25,2,11,1,0
18,26,2,12,1,0
18,27,5,12,1,0
18,28,2,13,1,0
18,29,2,14,1,0
18,30,1,14,1,1
18,31,2,14,2,1
18,32,2,14,3,1
18,33,2,14,4,1
18,34,2,14,5,1
18,35,2,14,6,1
18,36,2,14,7,1
18,37,2,14,8,1
18,38,2,14,9,1
18,39,2,14,10,1
18,40,2,14,11,1
18,41,2,14,12,1
18,42,2,14,13,1
18,43,2,14,14,1
19,0,0,1,13,2
19,1,1,1,13,3
19,2,3,1,13,3
19,3,2,1,12,3
19,4,1,1,12,0
19,5,5,1,12,0
19,6,2,2,12,0
19,7,2,3,12,0
19,8,2,4,12,0
19,9,2,5,12,0
19,10,2,6,12,0
19,11,2,7,12,0
19,12,2,8,12,0
19,13,2,9,12,0
19,14,2,10,12,0
19,15,2,11,12,0
19,16,2,12,12,0
19,17,2,13,12,0
19,18,2,14,12,0
19,19,1,14,12,1
19,20,2,14,13,1
19,21,2,14,14,1
20,0,0,3,14,3
20,1,2,3,13,3
20,2,2,3,12,3
20,3,2,3,11,3
20,4,2,3,10,3
20,5,2,3,9,3
20,6,2,3,8,3
20,7,2,3,7,3
20,8,2,3,6,3
20,9,0,3,6,2
20,10,3,3,6,2
20,11,0,3,6,1
20,12,2,3,7,1
20,13,2,3,8,1
20,14,0,3,8,0
20,15,5,3,8,0
20,16,2,4,8,0
20,17,2,5,8,0
20,18,2,6,8,0
20,19,2,7,8,0
20,20,2,8,8,0
20,21,2,9,8,0
20,22,2,10,8,0
20,23,2,11,8,0
20,24,2,12,8,0
20,25,2,13,8,0
20,26,2,14,8,0
20,27,1,14,8,1
20,28,2,14,9,1
20,29,2,14,10,1
20,30,2,14,11,1
20,31,2,14,12,1
20,32,2,14,13,1
20,33,2,14,14,1
